period,l.r.t,loc,tree_id,row,tree,geno,psi,li-cor,moisture,gld,ht,obs,photo,cond,trans
1,10404,1,1,4,4,1,20,2,17,24.3,131.2,2,14.47668,0.864993,6.47735
1,10407,1,2,4,7,2,10,1,17,24.76,157.8,1,12.24293,0.566308,5.581185
1,10214,1,3,2,14,3,15,3,8.9,20.35,148.9,3,11.5932,0.62458,6.093149
1,10418,1,4,4,18,4,20,4,8.3,22.23,147.5,4,3.151649,0.613671,5.669496
1,10224,1,5,2,24,5,30,5,9.7,21.32,152.4,5,1.647472,0.223897,2.532993
1,10228,1,6,2,28,6,25,6,6.8,21.67,161.4,6,9.644278,0.38894,4.428232
1,10703,1,7,7,3,1,10,12,10.4,30.82,202.1,12,10.7729,0.435691,4.80675
1,10707,1,8,7,7,2,10,10,12,27.13,179.2,10,18.66874,0.296427,3.947547
1,10714,1,9,7,14,3,25,9,12.6,25.66,152.3,9,14.00087,0.376173,4.789093
1,10917,1,10,9,17,4,10,11,8.9,15.17,113.7,11,7.892318,0.2768,4.105205
1,10724,1,11,7,24,5,10,8,5,18.93,116.5,8,10.694,0.368946,4.681954
1,10829,1,12,8,29,6,5,7,8.5,24.7,127,7,18.08887,0.778456,6.733836
1,11404,1,13,14,4,1,10,13,11.8,33.03,168.4,13,8.460237,0.219711,2.963007
1,11209,1,14,12,9,2,5,14,11.2,25.88,138.7,14,10.00751,0.518691,5.474327
1,11313,1,15,13,13,3,20,15,13.9,24.9,178.9,15,10.91913,0.559606,5.28012
1,11219,1,16,12,19,4,10,16,11.2,28.72,194.6,16,13.93363,0.753626,6.842006
1,11323,1,17,13,23,5,5,17,10.6,23.9,152,17,16.16719,0.974552,7.357457
1,11227,1,18,12,27,6,5,18,11.8,19.09,121.2,18,10.60582,0.522947,4.758281
1,11804,1,19,18,4,1,10,24,11.8,28.55,194.6,24,10.16087,0.834562,6.943962
1,11808,1,20,18,8,2,5,23,16.8,27.46,151.9,23,8.803949,0.997691,7.839776
1,11912,1,21,19,12,3,10,22,13.9,23.18,173.4,22,10.95931,0.454255,5.266934
1,11817,1,22,18,17,4,5,21,12.6,27.33,128.2,21,7.311857,0.557296,6.618753
1,11824,1,23,18,24,5,10,20,10,25.24,157.6,20,9.577362,0.725871,6.800984
1,11829,1,24,18,29,6,5,19,9.5,13.24,90.4,19,10.13088,0.357772,5.038451
1,20403,2,25,4,3,1,5,1,8.3,20.4,110,1,19.53278,0.103595,1.525156
1,20309,2,26,3,9,2,22,2,7,19.25,129,2,18.41759,0.180652,2.385508
1,20212,2,27,2,12,3,27,3,6.4,9.05,61,3,16.05661,0.198468,2.266036
1,20417,2,28,4,17,4,5,4,4.8,24.72,133,4,5.525392,0.036399,0.574246
1,20224,2,29,2,24,5,5,5,5.4,15.29,104,5,10.18515,0.063569,0.982225
1,20328,2,30,3,28,6,30,6,6.2,15.29,90,6,16.68167,0.130071,1.810568
1,20702,2,31,7,2,6,5,12,7.5,22.62,129,12,16.82979,0.1565,2.152105
1,20709,2,32,7,9,5,7,11,5.6,15.71,102,11,15.08033,0.198322,2.515403
1,20812,2,33,8,12,4,5,10,5,16.69,116,10,15.34907,0.189186,2.505415
1,20918,2,34,9,18,3,10,9,4.2,22.86,167,9,14.22653,0.171795,2.34965
1,20724,2,35,7,24,2,15,8,3.7,10.93,89,8,12.80803,0.176175,2.349614
1,20829,2,36,8,29,1,3,7,6,11.54,68,7,15.84193,0.166968,2.173855
1,21404,2,37,14,4,1,10,13,4.8,13.47,135,13,5.202212,0.064465,1.046901
1,21309,2,38,13,9,2,5,14,7.7,16.83,120,14,11.72677,0.15606,1.861796
1,21212,2,39,12,12,3,7,15,4.4,22.94,146,15,14.90464,0.140464,1.775415
1,21219,2,40,12,19,4,5,16,6.6,17.72,110,16,18.63491,0.184481,2.410321
1,21424,2,41,14,24,5,17,17,5.8,23.82,128,17,14.90494,0.169701,2.241793
1,21429,2,42,14,29,6,15,18,5.4,19.45,120,18,18.965,0.206247,2.748587
1,21902,2,43,19,2,6,20,24,8.1,26.33,165,24,11.37374,0.107344,1.650616
1,21707,2,44,17,7,5,10,23,7.1,19.47,146,23,18.76554,0.186688,2.177766
1,21814,2,45,18,14,4,15,22,3.9,17.62,99,22,18.3603,0.187268,2.386198
1,21919,2,46,19,19,3,12,21,2.9,14.11,89,21,14.58388,0.163766,2.347453
1,21822,2,47,18,22,2,7,20,3.7,9.82,74,20,13.67009,0.149168,2.139567
1,21928,2,48,19,28,1,15,19,4.8,13.27,91,19,14.43863,0.267398,3.413511
2,10404,1,1,4,4,1,2,1,5.2,33.92,167,1,11.06798,0.070115,1.844206
2,10407,1,2,4,7,2,1,2,6.8,41,201,2,14.79895,0.12338,2.763857
2,10214,1,3,2,14,3,2,3,4.8,29.39,164,3,11.7874,0.147701,3.027655
2,10418,1,4,4,18,4,2,4,5,35.11,183,4,8.727901,0.070268,1.450533
2,10224,1,5,2,24,5,4,5,6.4,36.88,182,5,11.77498,0.086241,1.913751
2,10228,1,6,2,28,6,3,6,3.5,31.69,181,6,10.9393,0.06564,1.48505
2,10703,1,7,7,3,1,2,7,5,44.33,266,7,3.626814,-0.01805,-0.42245
2,10707,1,8,7,7,2,3,8,6,40.83,243,8,8.208252,-0.02184,-0.52051
2,10714,1,9,7,14,3,2,9,4.8,37.26,188,9,4.350796,-0.03531,-0.47239
2,10917,1,10,9,17,4,2,10,5,23.83,148,10,16.71641,0.011335,0.211772
2,10724,1,11,7,24,5,1,11,4.8,33.47,135,11,8.316807,-0.10984,-2.34029
